Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Praveen Kumar D., Amgoth T., Annavarapu C.S.R.","57191092096;55995540800;57190977830;","Machine learning algorithms for wireless sensor networks: A survey",2019,"Information Fusion","49",,,"1","25",,,"10.1016/j.inffus.2018.09.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054085311&doi=10.1016%2fj.inffus.2018.09.013&partnerID=40&md5=04fc87559041968e5ec38655de2c915c","Wireless sensor network (WSN) is one of the most promising technologies for some real-time applications because of its size, cost-effective and easily deployable nature. Due to some external or internal factors, WSN may change dynamically and therefore it requires depreciating dispensable redesign of the network. The traditional WSN approaches have been explicitly programmed which make the networks hard to respond dynamically. To overcome such scenarios, machine learning (ML) techniques can be applied to react accordingly. ML is the process of self-learning from the experiences and acts without human intervention or re-program. The survey of the ML techniques for WSNs is presented in [1], covering period of 2002–2013. In this survey, we present various ML-based algorithms for WSNs with their advantages, drawbacks, and parameters effecting the network lifetime, covering the period from 2014–March 2018. In addition, we also discuss ML algorithms for synchronization, congestion control, mobile sink scheduling and energy harvesting. Finally, we present a statistical analysis of the survey, the reasons for selection of a particular ML techniques to address an issue in WSNs followed by some discussion on the open issues. © 2018 Elsevier B.V.","Data aggregation; Energy efficiency; Machine learning; Network lifetime; Wireless sensor networks",Article,,Scopus,2-s2.0-85054085311
"Chen X., Zhao Y., Li Y.","57188755903;56456839500;57189401839;","QoE-Aware wireless video communications for emotion-aware intelligent systems: A multi-layered collaboration approach",2019,"Information Fusion","47",,,"1","9",,,"10.1016/j.inffus.2018.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049904494&doi=10.1016%2fj.inffus.2018.06.007&partnerID=40&md5=5e40e15844046ea144adfd677634cbcd","With the ever increasing demand on high-quality visual information for emotion-aware intelligent systems, wireless video traffic explosively grows and causes great energy consumption. Therefore, providing high quality of experience (QoE) for connected users becomes increasingly important. Aiming to establish a new paradigm to solve this challenging problem, in this article we propose a multi-layered collaboration approach to provide energy-efficient QoE-aware wireless video communications by efficiently utilizing the limited transmission resources of wireless networks for 5G. We first investigate the emotion-aware intelligent system QoE measurement based on objective metrics of quality of service (QoS). Then, we utilize the multi-layered collaborations of physical, network and application layers among the connected users to achieve energy-efficient QoE-aware video communications. By developing a profound understanding of the interplay between the video applications and wireless networks, we qualitatively analyze how QoE can benefit from the multi-layered collaborations, and quantitatively assess the achievable gains in a typical wireless-connected emotion-aware application scenario. © 2018","Emotion-aware; Energy-efficiency; Multi-layered collaboration; Quality of experience (QoS); Wireless video communications",Article,,Scopus,2-s2.0-85049904494
"Zhou T., Mei L., Zhang Y., Liao L., Liu H., Guo Q.","57192995703;7103211481;55884658000;57203807097;36955411500;56927295400;","Color-tunable luminescence properties and energy transfer of Tb3+/Sm3+ co-doped Ca9La(PO4)5(SiO4)F2 phosphors",2019,"Optics and Laser Technology","111",,,"191","195",,,"10.1016/j.optlastec.2018.09.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054336805&doi=10.1016%2fj.optlastec.2018.09.033&partnerID=40&md5=acec1922230239bf9fa32e71a79594dd","The Ca9La(PO4)5(SiO4)F2:Tb3+,Sm3+ phosphor with apatite structure has been successfully synthesized by high temperature solid-state reaction, and its luminescence properties as well as energy transfer mechanism has been investigated in detail. The energy transfer (ET) efficiency increases with increasing Sm3+ doping content, that was confirmed by the luminescence spectra and fluorescence decay curves of corresponding ions. The ET interaction mechanism was determined to be dipole–quadrupole interaction. The emission color of Ca9La(PO4)5(SiO4)F2:Tb3+,Sm3+ phosphor could be adjusted from green (0.272, 0.489) to yellow (0.363, 0.395) area through controlling the dopant ratio of Tb3+/Sm3+. The above results indicate that the Ca9La(PO4)5(SiO4)F2:Tb3+,Sm3+ phosphor has a great potential in white light-emitting diodes application. © 2018 Elsevier Ltd","Apatite; Energy transfer; Phosphors; Photoluminescence properties",Article,,Scopus,2-s2.0-85054336805
"Barambones O., Cortajarena J.A., Calvo I., Gonzalez de Durana J.M., Alkorta P., Karami-Mollaee A.","6602401604;24721335000;23007391000;56596790300;24172453400;55913227100;","Variable speed wind turbine control scheme using a robust wind torque estimation",2019,"Renewable Energy","133",,,"354","366",,,"10.1016/j.renene.2018.10.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054862738&doi=10.1016%2fj.renene.2018.10.009&partnerID=40&md5=4ecc496c57126843fffad41846a61e65","This work proposes a robust controller for a variable speed wind turbine system with a doubly feed induction generator. The controller aims at tracking the optimal speed of the wind turbine so that extracts the maximum power from the wind. Also, a robust aerodynamic torque observer is proposed in order to avoid the use of wind speed sensors. This torque observer allows to estimate the aerodynamic torque to be used by the controller in order to calculate the value of the optimal reference speed for the wind turbine. The vector control theory is applied in the present approach, and thereby the stator flux-oriented control is used for controlling the speed of the wind turbine generator. The proposed robust control law is based on sliding mode control theory, which has proved to provide good performance under system uncertainties. The stability of the proposed controller under disturbances and parameter uncertainties has been analyzed using the Lyapunov stability theory. Finally, real time experimental results show that, on the one hand, the proposed controller provides high-performance dynamic characteristics, and on the other hand, this scheme is robust with respect to the uncertainties that usually appear in this kind of systems. © 2018 Elsevier Ltd","DFIG; Lyapunov stability; Renewable energy; Sliding mode control; Sliding mode observer; Wind energy",Article,,Scopus,2-s2.0-85054862738
"Shah M., Sircar A., Varsada R., Vaishnani S., Savaliya U., Faldu M., Vaidya D., Bhattacharya P.","56438610900;7004457839;57203968102;57203976146;57203970477;57203967306;57130361600;57203970290;","Assessment of geothermal water quality for industrial and irrigation purposes in the Unai geothermal field, Gujarat, India",2019,"Groundwater for Sustainable Development","8",,,"59","68",,,"10.1016/j.gsd.2018.08.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053822298&doi=10.1016%2fj.gsd.2018.08.006&partnerID=40&md5=4574481720076c703dba6e83a166f7ab","Nowadays, a spotlight on the direct manipulation of water from the geothermal fields is laid for manifold applications. This manuscript discusses the utilization of water produced from geothermal wells for irrigation and industrial purposes. In order to identify the suitability of the water for the above mentioned uses, various hydrochemical parameters were evaluated. Samples were collected from three geothermal well sites from Unai village, a prominent geothermal field situated in Navsari district, Gujarat, India. The hydrochemistry of the samples collected from hot spring (depth 30–45 m) was studied and samples were examined by calculating different parameters. The complete study was done individually for both industrial and irrigational uses of geothermal water. The mean surface temperature of the water is 55 °C and average pH of the sample studied is 8.12. The key Water Quality Indices (WQI) such as Langelier Saturation Index (LSI), Ryznar Stability Index (RSI), Puckorius Scaling Index (PSI) and Larson-Skold Index (LS) were examined for industrial utilization and the key indices like Sodium Absorption Ratio (SAR), Sodium Percentage (SP), Kelly Ratio (KR) Residual Sodium Carbonate (RSC) and Permeability Index (PI) were examined for irrigational utilization of geothermal water. LSI and RSI values show that carbonate and bicarbonate concentration is in the desirable range, however, LS (15.09, 13.54) is very high which indicates higher Cl- content. High value of indices such as SAR, KR, and SP points out the increased concentration of Na+ in the water sample. The results of this study would help the end users to identify the necessary water-treatments before utilizing the water for industrial and irrigation purposes in the study area. © 2018","Geothermal energy; Geothermal water; Industrial; Irrigation; Water Quality Indices",Article,,Scopus,2-s2.0-85053822298
"Gao X., Tian Y., Liu Q., Li B., Tang W., Zhang J., Xu S.","57195957258;8212369300;56048063200;56535580000;57201468812;57203973166;7404438823;","Broadband 2 μm emission characteristics and energy transfer mechanism of Ho3+ doped silicate-germanate glass sensitized by Tm3+ ions",2019,"Optics and Laser Technology","111",,,"115","120",,,"10.1016/j.optlastec.2018.09.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053823213&doi=10.1016%2fj.optlastec.2018.09.043&partnerID=40&md5=00b0fae193aaa7af3dd1aebc0d6f7362","The Tm3+/Ho3+ co-doped silicate-germanate glasses with good thermal properties were synthesized by high temperature melting method. 2.0 μm emissions with broad effective half-width (231.5 nm) were successfully obtained in present Tm3+/Ho3+ co-doped glasses without obvious quenching upon excitation of a commercial 808 nm laser diode. To further understand 2 μm fluorescence behaviors of the prepared glasses, energy transfer mechanism, efficiency, rate and microparameters from different levels of Tm3+ to Ho3+ ions have been obtained and discussed. In short, the Tm3+/Ho3+ co-doped silicate-germanate glass with excellent spectroscopic properties might be an attractive host material for 2 μm broadband solid laser. © 2018 Elsevier Ltd","2 μm emission; Energy transfer; Silicate-germanate glass; Tm3+/Ho3+",Article,,Scopus,2-s2.0-85053823213
"Fuks-Janczarek I., Miedzinski R., Reben M., Yousef E.S.","7005627281;6504066891;23005925600;6602856303;","Linear and non-linear optical study of fluorotellurite glasses as function of selected alkaline earth metals doped with Er3+",2019,"Optics and Laser Technology","111",,,"184","190",,,"10.1016/j.optlastec.2018.09.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054169831&doi=10.1016%2fj.optlastec.2018.09.041&partnerID=40&md5=a82b0563535ffa4921988bbee38c191c","A systematic characterization of optical and chemical properties of fluorotellurite glasses based on 70TeO2-5MxOy-10P2O5-10ZnO-5PbF2 glasses as function of alkaline earth metals as network modifiers were studied and analysed. The Z-scan results show that all the compounds have NLO properties such as nonlinear refractive index (n2) and two photon absorption (β). Finally, using (n2) and (β) we also determined the third-order nonlinear optical susceptibility χ〈3〉. It was found that the alkaline earth metals elements, have an influence on such NLO properties. Based on the ability of the lattice modifiers to decrease the band-gap energy while simultaneously increasing the linear refractive index of the TeO2-based glass, we investigated how these modifiers affect the non-linear refractive index. © 2018 Elsevier Ltd","Alkaline earth metals; Energy gap; Optical materials; Rare earth ions; Two photon absorption; Z-scan method",Article,,Scopus,2-s2.0-85054169831
"Chen Y., Deng C., Yao W., Liang N., Xia P., Cao P., Dong Y., Zhang Y.-A., Liu Z., Li D., Chen M., Peng P.","57200271648;7202303204;57200285736;57192677154;55046210100;57204184096;57204181085;57200282688;57204179287;57202505889;57204174624;57204180946;","Impacts of stochastic forecast errors of renewable energy generation and load demands on microgrid operation",2019,"Renewable Energy","133",,,"442","461",,,"10.1016/j.renene.2018.09.110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054824649&doi=10.1016%2fj.renene.2018.09.110&partnerID=40&md5=e58a1bb5042cf3006539de014b415260","Evaluating the impacts related to stochastic forecast errors (SFE) of renewable energy generation and load demands on the operation of micro grid is an important issue. In previous researches, the negative effects of SFE on micro grid are mainly focusing on power quality, system control, and operation, etc. The objective of this study is to investigate how SFE affects the operation stability of energy storage system (ESS) from the perspective of the state of charge (SOC). To this end, novel SFE propagation and accumulation models are introduced. Efficient quantification models of impacts of SFE on the variance of SOC are presented. These models elucidate in detail the mechanism of ESS working from stable to unstable state due to SOC deviation. Then, some metrics are introduced to evaluate the impacts of SFE on service lifetime of units, the cycle life of ESS and operation economy of micro grid. Finally, illustrative numerical results are provided and compared using a self-developed new simulation program named MG-ROS, which can simulate the actual operation of micro grid under SFE. © 2018 Elsevier Ltd","Energy management; Impacts of SFE; Micro grid; Propagation and accumulation of SFE; SOC deviation",Article,,Scopus,2-s2.0-85054824649
"Huang D., Zhou S., Litak G.","56576847000;55443137600;7003517944;","Theoretical analysis of multi-stable energy harvesters with high-order stiffness terms",2019,"Communications in Nonlinear Science and Numerical Simulation","69",,,"270","286",,,"10.1016/j.cnsns.2018.09.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054320894&doi=10.1016%2fj.cnsns.2018.09.025&partnerID=40&md5=9d99f4022a89560a162b7bd996a54b03","This paper mainly focuses on theoretical analysis of multi-stable energy harvesters with high-order stiffness terms to reveal their dynamic response mechanism and enhance energy harvesting performance. A modified Lindstedt–Poincaré method is applied to explicitly find the coupled relationship of the amplitude–frequency response equations which are consistent with the direct results from the traditional method of multiple scales. The nine-valued responses are found and five of them are stable. Meanwhile, complex multi-valued characteristics are observed in the amplitude of the response displacement. Especially, eleven types of interesting dynamic characteristics are found with the variation of the excitation amplitude. Combining with the stability analysis, the dynamic response mechanism of multi-stable energy harvesters is revealed. Furthermore, the influences of high-order nonlinear coefficients on the response are analyzed. The selection of high-order nonlinear coefficients for obtaining high-energy oscillations over a wide frequency range is analyzed. © 2018 Elsevier B.V.","High-order stiffness; Multi-stable energy harvesting; Nonlinear analysis; Theoretical solutions",Article,,Scopus,2-s2.0-85054320894
"Esence T., Bruch A., Fourmigué J.-F., Stutz B.","57192115178;55792095000;8527523600;6701641517;","A versatile one-dimensional numerical model for packed-bed heat storage systems",2019,"Renewable Energy","133",,,"190","204",,,"10.1016/j.renene.2018.10.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054562614&doi=10.1016%2fj.renene.2018.10.012&partnerID=40&md5=829e6c3a2d913bba22aa90ed67d1dc2b","Thanks to their versatility and their relatively low cost, packed-bed sensible heat storage systems are promising for various applications like in concentrated solar power plants, adiabatic compressed energy storage and pumped thermal energy storage. A versatile one-dimensional numerical model able to describe many packed-bed configurations is developed and presented. This model is able to treat liquid and gaseous heat transfer fluids, and packed bed with a monomodal or a bimodal particle size repartion, i.e. consisting of a mixture of large and small solid particles (such as rocks and sand). This configuration is commonly encountered in the literature due to the advantages it procures. The model is compared and validated with specific experimental data and results from the literature covering wide ranges of configurations and operating conditions: several heat transfer fluids (molten salts, thermal oil, air), solid materials (rocks, sand, ceramics), fluid velocities, temperature levels and packed bed configurations are successfully tested. This shows the versatility of the developed model. The influence of the fluid velocity on heat losses, thermal diffusion and fluid/solid heat exchange are analysed. It enables to determine the optimal velocity which maximizes the performance of the storage system. © 2018 Elsevier Ltd","Fluid velocity influence; Numerical model; Packed bed; Porous medium; Thermal energy storage; Thermocline",Article,,Scopus,2-s2.0-85054562614
